,Industrials_Fund_Value
2019-05-30,15205.080322265625
2019-05-31,14533.199798583984
2019-06-01,15028.199798583984
2019-06-02,15028.199798583984
2019-06-03,15028.199798583984
2019-06-04,16016.879516601562
2019-06-05,15758.159637451172
2019-06-06,15675.0
2019-06-07,16134.360443115234
2019-06-08,16313.879516601562
2019-06-09,16313.879516601562
2019-06-10,16313.879516601562
2019-06-11,16137.0
2019-06-12,16044.600402832031
2019-06-13,16338.959838867188
2019-06-14,16218.840362548828
2019-06-15,16016.879516601562
2019-06-16,16016.879516601562
2019-06-17,16016.879516601562
2019-06-18,16864.320281982422
2019-06-19,16668.959838867188
2019-06-20,17259.0
2019-06-21,17142.83935546875
2019-06-22,17108.520080566406
2019-06-23,17108.520080566406
2019-06-24,17108.520080566406
2019-06-25,16977.83935546875
2019-06-26,17235.240966796875
2019-06-27,17420.040161132812
2019-06-28,17507.16064453125
2019-06-29,17727.60040283203
2019-06-30,17727.60040283203
2019-07-01,17727.60040283203
2019-07-02,17397.60040283203
2019-07-03,17545.43975830078
2019-07-04,17545.43975830078
2019-07-05,17545.43975830078
2019-07-06,17413.43975830078
2019-07-07,17413.43975830078
2019-07-08,17413.43975830078
2019-07-09,17346.120483398438
2019-07-10,17223.359436035156
2019-07-11,17335.56024169922
2019-07-12,17996.879516601562
2019-07-13,17785.680725097656
2019-07-14,17785.680725097656
2019-07-15,17785.680725097656
2019-07-16,18161.879516601562
2019-07-17,17356.680725097656
2019-07-18,15986.520080566406
2019-07-19,15705.360443115234
2019-07-20,15590.520080566406
2019-07-21,15590.520080566406
2019-07-22,15590.520080566406
2019-07-23,16085.520080566406
2019-07-24,16715.159637451172
2019-07-25,16861.679718017578
2019-07-26,16844.520080566406
2019-07-27,17026.680725097656
2019-07-28,17026.680725097656
2019-07-29,17026.680725097656
2019-07-30,17153.39959716797
2019-07-31,16704.60040283203
2019-08-01,15956.159637451172
2019-08-02,15480.959838867188
2019-08-03,14962.199798583984
2019-08-04,14962.199798583984
2019-08-05,14962.199798583984
2019-08-06,15098.159637451172
2019-08-07,14970.120483398438
2019-08-08,15556.199798583984
2019-08-09,15255.239959716797
2019-08-10,14630.879516601562
2019-08-11,14630.879516601562
2019-08-12,14630.879516601562
2019-08-13,14852.639556884766
2019-08-14,13907.520080566406
2019-08-15,13803.239959716797
2019-08-16,14254.679718017578
2019-08-17,14604.479919433594
2019-08-18,14604.479919433594
2019-08-19,14604.479919433594
2019-08-20,14409.120483398438
2019-08-21,14686.320281982422
2019-08-22,14500.199798583984
2019-08-23,13854.71987915039
2019-08-24,14026.320281982422
2019-08-25,14026.320281982422
2019-08-26,14026.320281982422
2019-08-27,13701.600402832031
2019-08-28,14034.239959716797
2019-08-29,14694.239959716797
2019-08-30,14857.919677734375
2019-08-31,14476.439758300781
2019-09-01,14476.439758300781
2019-09-02,14476.439758300781
2019-09-03,14476.439758300781
2019-09-04,14889.600402832031
2019-09-05,15376.679718017578
2019-09-06,15429.479919433594
2019-09-07,15935.040161132812
2019-09-08,15935.040161132812
2019-09-09,15935.040161132812
2019-09-10,16374.600402832031
2019-09-11,16845.840362548828
2019-09-12,16896.0
2019-09-13,17010.83935546875
2019-09-14,16942.200805664062
2019-09-15,16942.200805664062
2019-09-16,16942.200805664062
2019-09-17,16750.800201416016
2019-09-18,16461.71987915039
2019-09-19,16513.199798583984
2019-09-20,16690.080322265625
2019-09-21,16948.799194335938
2019-09-22,16948.799194335938
2019-09-23,16948.799194335938
2019-09-24,16464.360443115234
2019-09-25,16881.479919433594
2019-09-26,16839.239959716797
2019-09-27,16472.28012084961
2019-09-28,16452.479919433594
2019-09-29,16452.479919433594
2019-09-30,16452.479919433594
2019-10-01,15783.239959716797
2019-10-02,15309.360443115234
2019-10-03,15363.479919433594
2019-10-04,15471.71987915039
2019-10-05,15267.120483398438
2019-10-06,15267.120483398438
2019-10-07,15267.120483398438
2019-10-08,14414.399597167969
2019-10-09,14715.360443115234
2019-10-10,14958.239959716797
2019-10-11,15628.800201416016
2019-10-12,15665.760040283203
2019-10-13,15665.760040283203
2019-10-14,15665.760040283203
2019-10-15,15929.760040283203
2019-10-16,16060.439758300781
2019-10-17,16882.800201416016
2019-10-18,16983.120483398438
2019-10-19,17116.43975830078
2019-10-20,17116.43975830078
2019-10-21,17116.43975830078
2019-10-22,17476.799194335938
2019-10-23,17644.43975830078
2019-10-24,17424.0
2019-10-25,17870.16064453125
2019-10-26,17952.0
2019-10-27,17952.0
2019-10-28,17952.0
2019-10-29,18089.27911376953
2019-10-30,17944.080322265625
2019-10-31,17631.240966796875
2019-11-01,18725.520080566406
2019-11-02,19368.359436035156
2019-11-03,19368.359436035156
2019-11-04,19368.359436035156
2019-11-05,19401.359436035156
2019-11-06,19422.479919433594
2019-11-07,19822.43975830078
2019-11-08,20502.240966796875
2019-11-09,20639.520080566406
2019-11-10,20639.520080566406
2019-11-11,20639.520080566406
2019-11-12,20388.72088623047
2019-11-13,19896.359436035156
2019-11-14,20106.240966796875
2019-11-15,20372.879516601562
2019-11-16,20231.640563964844
2019-11-17,20231.640563964844
2019-11-18,20231.640563964844
2019-11-19,20099.640563964844
2019-11-20,19604.640563964844
2019-11-21,20126.040161132812
2019-11-22,20395.319274902344
2019-11-23,20726.640563964844
2019-11-24,20726.640563964844
2019-11-25,20726.640563964844
2019-11-26,20630.27911376953
2019-11-27,20652.72088623047
2019-11-28,20202.60040283203
2019-11-29,20202.60040283203
2019-11-30,20089.080322265625
2019-12-01,20089.080322265625
2019-12-02,20089.080322265625
2019-12-03,19716.83935546875
2019-12-04,19869.959838867188
2019-12-05,20213.16064453125
2019-12-06,20758.319274902344
2019-12-07,20573.520080566406
2019-12-08,20573.520080566406
2019-12-09,20573.520080566406
2019-12-10,20298.959838867188
2019-12-11,20720.040161132812
2019-12-12,21541.080322265625
2019-12-13,21481.680725097656
2019-12-14,21801.120483398438
2019-12-15,21801.120483398438
2019-12-16,21801.120483398438
