,Consumer_Fund_Value
2020-03-18,1351.1999816894531
2020-03-19,1368.4800109863281
2020-03-20,1442.8799743652344
2020-03-21,1368.0
2020-03-22,1368.0
2020-03-23,1368.0
2020-03-24,1447.1999816894531
2020-03-25,1586.8800659179688
2020-03-26,1717.43994140625
2020-03-27,1648.7999267578125
2020-03-28,1610.3999633789062
2020-03-29,1610.3999633789062
2020-03-30,1610.3999633789062
2020-03-31,1618.0799560546875
2020-04-01,1587.840087890625
2020-04-02,1621.9200439453125
2020-04-03,1548.0
2020-04-04,1679.0399780273438
2020-04-05,1679.0399780273438
2020-04-06,1679.0399780273438
2020-04-07,1665.6000366210938
2020-04-08,1726.56005859375
2020-04-09,1800.0
2020-04-10,1751.5200805664062
2020-04-11,1751.5200805664062
2020-04-12,1751.5200805664062
2020-04-13,1751.5200805664062
2020-04-14,1760.6400146484375
2020-04-15,1681.43994140625
2020-04-16,1709.280029296875
2020-04-17,1773.1199340820312
2020-04-18,1750.56005859375
2020-04-19,1750.56005859375
2020-04-20,1750.56005859375
2020-04-21,1726.0799560546875
2020-04-22,1745.280029296875
2020-04-23,1739.0399780273438
2020-04-24,1760.159912109375
2020-04-25,1833.1199340820312
2020-04-26,1833.1199340820312
2020-04-27,1833.1199340820312
2020-04-28,1922.8800659179688
2020-04-29,1953.1199340820312
2020-04-30,1909.9200439453125
2020-05-01,1968.9600219726562
2020-05-02,2003.5200805664062
2020-05-03,2003.5200805664062
2020-05-04,2003.5200805664062
2020-05-05,2014.0799560546875
2020-05-06,1992.0
2020-05-07,2035.6799926757812
2020-05-08,2105.280029296875
2020-05-09,2031.3599853515625
2020-05-10,2031.3599853515625
2020-05-11,2031.3599853515625
2020-05-12,1964.6400146484375
2020-05-13,1807.2000732421875
2020-05-14,1913.280029296875
2020-05-15,1923.840087890625
2020-05-16,2021.280029296875
2020-05-17,2021.280029296875
2020-05-18,2021.280029296875
2020-05-19,1962.2400512695312
2020-05-20,1967.5200805664062
2020-05-21,1951.6799926757812
2020-05-22,1954.56005859375
2020-05-23,2078.3999633789062
2020-05-24,2078.3999633789062
2020-05-25,2078.3999633789062
2020-05-26,2078.3999633789062
2020-05-27,2185.43994140625
2020-05-28,2165.280029296875
2020-05-29,2155.6799926757812
2020-05-30,2189.280029296875
2020-05-31,2189.280029296875
2020-06-01,2189.280029296875
2020-06-02,2154.719970703125
2020-06-03,2187.3599853515625
2020-06-04,2209.43994140625
2020-06-05,2272.3200073242188
2020-06-06,2356.3200073242188
2020-06-07,2356.3200073242188
2020-06-08,2356.3200073242188
2020-06-09,2270.3999633789062
2020-06-10,2153.280029296875
2020-06-11,2028.9600219726562
2020-06-12,2073.1199340820312
2020-06-13,2104.7999267578125
2020-06-14,2104.7999267578125
2020-06-15,2104.7999267578125
2020-06-16,2143.6799926757812
2020-06-17,2099.5200805664062
2020-06-18,2099.5200805664062
2020-06-19,2124.9600219726562
2020-06-20,2075.0399780273438
2020-06-21,2075.0399780273438
2020-06-22,2075.0399780273438
2020-06-23,2044.7999267578125
2020-06-24,2016.0
2020-06-25,1999.6799926757812
2020-06-26,1961.7599487304688
2020-06-27,2098.0799560546875
2020-06-28,2098.0799560546875
2020-06-29,2098.0799560546875
2020-06-30,2127.3599853515625
2020-07-01,2121.1199340820312
