,TMT_Fund_Value
2019-11-08,30505.641403198242
2019-11-09,30536.990127563477
2019-11-10,30536.990127563477
2019-11-11,30536.990127563477
2019-11-12,30737.63153076172
2019-11-13,30787.789489746094
2019-11-14,30944.539489746094
2019-11-15,31343.730255126953
2019-11-16,31421.05923461914
2019-11-17,31421.05923461914
2019-11-18,31421.05923461914
2019-11-19,31431.509872436523
2019-11-20,31270.578979492188
2019-11-21,31241.319107055664
2019-11-22,31264.30923461914
2019-11-23,31607.069107055664
2019-11-24,31607.069107055664
2019-11-25,31607.069107055664
2019-11-26,31774.269744873047
2019-11-27,31834.88153076172
2019-11-28,31638.421020507812
2019-11-29,31638.421020507812
2019-11-30,31255.950637817383
2019-12-01,31255.950637817383
2019-12-02,31255.950637817383
2019-12-03,31205.789489746094
2019-12-04,31318.651275634766
2019-12-05,31335.36846923828
2019-12-06,31715.75
2019-12-07,31634.240127563477
2019-12-08,31634.240127563477
2019-12-09,31634.240127563477
2019-12-10,31586.171020507812
2019-12-11,31705.299362182617
2019-12-12,32027.16114807129
2019-12-13,32296.769744873047
2019-12-14,32505.769744873047
2019-12-15,32505.769744873047
2019-12-16,32505.769744873047
2019-12-17,32330.210510253906
2019-12-18,32263.328979492188
2019-12-19,32543.391403198242
2019-12-20,32898.69076538086
2019-12-21,32898.69076538086
2019-12-22,32898.69076538086
2019-12-23,32898.69076538086
2019-12-24,32892.42102050781
2019-12-25,33162.02961730957
2019-12-26,33162.02961730957
2019-12-27,33222.64140319824
2019-12-28,32936.30923461914
2019-12-29,32936.30923461914
2019-12-30,32936.30923461914
2019-12-31,32959.29936218262
2020-01-01,33569.57897949219
2020-01-02,33569.57897949219
2020-01-03,33151.57897949219
2020-01-04,33237.26974487305
2020-01-05,33237.26974487305
2020-01-06,33237.26974487305
2020-01-07,32934.22038269043
2020-01-08,33458.80923461914
2020-01-09,33876.80923461914
2020-01-10,33720.05923461914
2020-01-11,34125.51974487305
2020-01-12,34125.51974487305
2020-01-13,34125.51974487305
2020-01-14,33885.17102050781
2020-01-15,34104.61846923828
2020-01-16,34729.52961730957
2020-01-17,34923.901275634766
2020-01-18,34798.5
2020-01-19,34798.5
2020-01-20,34798.5
2020-01-21,34798.5
2020-01-22,34631.29936218262
2020-01-23,34844.48025512695
2020-01-24,34493.35859680176
2020-01-25,33916.51974487305
2020-01-26,33916.51974487305
2020-01-27,33916.51974487305
2020-01-28,34581.14140319824
2020-01-29,35120.35859680176
2020-01-30,36111.01974487305
2020-01-31,35578.069107055664
2020-02-01,36445.42102050781
2020-02-02,36445.42102050781
2020-02-03,36445.42102050781
2020-02-04,37645.07897949219
2020-02-05,37599.098724365234
2020-02-06,38378.67102050781
2020-02-07,38433.00987243652
2020-02-08,39438.29936218262
2020-02-09,39438.29936218262
2020-02-10,39438.29936218262
2020-02-11,38547.960510253906
2020-02-12,38604.39140319824
2020-02-13,38395.39140319824
2020-02-14,38738.151275634766
2020-02-15,39131.069107055664
2020-02-16,39131.069107055664
2020-02-17,39131.069107055664
2020-02-18,39131.069107055664
2020-02-19,39141.51974487305
2020-02-20,38543.77961730957
2020-02-21,37325.30923461914
2020-02-22,35716.00987243652
2020-02-23,35716.00987243652
2020-02-24,35716.00987243652
2020-02-25,35126.63153076172
2020-02-26,35565.52961730957
2020-02-27,33059.61846923828
2020-02-28,33860.08885192871
2020-02-29,36113.10859680176
2020-03-01,36113.10859680176
2020-03-02,36113.10859680176
2020-03-03,34382.58885192871
2020-03-04,35644.95063781738
2020-03-05,34750.430892944336
2020-03-06,33768.13153076172
2020-03-07,31479.578979492188
2020-03-08,31479.578979492188
2020-03-09,31479.578979492188
2020-03-10,33632.27961730957
2020-03-11,32108.671020507812
2020-03-12,29063.539489746094
2020-03-13,33195.47038269043
2020-03-14,28302.77961730957
2020-03-15,28302.77961730957
2020-03-16,28302.77961730957
2020-03-17,30633.13153076172
2020-03-18,29343.598724365234
2020-03-19,29826.391403198242
2020-03-20,28706.151275634766
2020-03-21,28419.819107055664
2020-03-22,28419.819107055664
2020-03-23,28419.819107055664
2020-03-24,31003.05923461914
2020-03-25,30706.27961730957
2020-03-26,32626.990127563477
2020-03-27,31287.299362182617
2020-03-28,33488.069107055664
2020-03-29,33488.069107055664
2020-03-30,33488.069107055664
2020-03-31,32961.39140319824
2020-04-01,31790.990127563477
2020-04-02,32449.33885192871
2020-04-03,32150.47038269043
2020-04-04,34541.430892944336
2020-04-05,34541.430892944336
2020-04-06,34541.430892944336
2020-04-07,34169.41114807129
2020-04-08,34512.17102050781
2020-04-09,34514.25987243652
2020-04-10,34591.58885192871
2020-04-11,34591.58885192871
2020-04-12,34591.58885192871
2020-04-13,34591.58885192871
2020-04-14,36303.29936218262
2020-04-15,35922.92102050781
2020-04-16,37001.35859680176
2020-04-17,37327.401275634766
2020-04-18,36587.539489746094
2020-04-19,36587.539489746094
2020-04-20,36587.539489746094
2020-04-21,35074.38153076172
2020-04-22,36265.680892944336
2020-04-23,35826.77961730957
2020-04-24,36480.95063781738
2020-04-25,36376.45063781738
2020-04-26,36376.45063781738
2020-04-27,36376.45063781738
2020-04-28,35490.289489746094
2020-04-29,37082.86846923828
2020-04-30,37454.89140319824
