,Energy_Fund_Value
2019-07-18,12640.510269165039
2019-07-19,12532.500015258789
2019-07-20,12612.810256958008
2019-07-21,12612.810256958008
2019-07-22,12612.810256958008
2019-07-23,12483.300071716309
2019-07-24,12510.529792785645
2019-07-25,12553.93025970459
2019-07-26,12537.72956085205
2019-07-27,12344.500289916992
2019-07-28,12344.500289916992
2019-07-29,12344.500289916992
2019-07-30,12253.159965515137
2019-07-31,12481.089859008789
2019-08-01,12578.2894821167
2019-08-02,12578.2894821167
2019-08-03,12109.809616088867
2019-08-04,12109.809616088867
2019-08-05,12109.809616088867
2019-08-06,12228.489540100098
2019-08-07,12154.080360412598
2019-08-08,12427.830520629883
2019-08-09,12479.989974975586
2019-08-10,12477.669654846191
2019-08-11,12477.669654846191
2019-08-12,12477.669654846191
2019-08-13,12521.850204467773
2019-08-14,12312.699913024902
2019-08-15,12412.469421386719
2019-08-16,12555.34049987793
2019-08-17,12740.970321655273
2019-08-18,12740.970321655273
2019-08-19,12740.970321655273
2019-08-20,12756.07992553711
2019-08-21,12817.79010772705
2019-08-22,12702.19009399414
2019-08-23,12381.380111694336
2019-08-24,12575.969421386719
2019-08-25,12575.969421386719
2019-08-26,12575.969421386719
2019-08-27,12571.889656066895
2019-08-28,12711.349884033203
2019-08-29,12844.220207214355
2019-08-30,12861.69009399414
2019-08-31,12878.450057983398
2019-09-01,12878.450057983398
2019-09-02,12878.450057983398
2019-09-03,12878.450057983398
2019-09-04,12940.800086975098
2019-09-05,12845.58975982666
2019-09-06,12929.850173950195
2019-09-07,13062.07958984375
2019-09-08,13062.07958984375
2019-09-09,13062.07958984375
2019-09-10,13080.509864807129
2019-09-11,13195.879531860352
2019-09-12,13200.730186462402
2019-09-13,13168.700187683105
2019-09-14,13299.100173950195
2019-09-15,13299.100173950195
2019-09-16,13299.100173950195
2019-09-17,13389.719421386719
2019-09-18,13296.099868774414
2019-09-19,13188.37954711914
2019-09-20,13313.609733581543
2019-09-21,13207.359558105469
2019-09-22,13207.359558105469
2019-09-23,13207.359558105469
2019-09-24,13245.620178222656
2019-09-25,13187.279502868652
2019-09-26,13204.939613342285
2019-09-27,13176.140106201172
2019-09-28,13347.780258178711
2019-09-29,13347.780258178711
2019-09-30,13347.780258178711
2019-10-01,13188.889991760254
2019-10-02,12985.239555358887
2019-10-03,13102.429954528809
2019-10-04,13173.739700317383
2019-10-05,13014.88980102539
2019-10-06,13014.88980102539
2019-10-07,13014.88980102539
2019-10-08,12753.129867553711
2019-10-09,12823.470031738281
2019-10-10,12847.7802734375
2019-10-11,12859.52043914795
2019-10-12,12821.789627075195
2019-10-13,12821.789627075195
2019-10-14,12821.789627075195
2019-10-15,12813.75
2019-10-16,12731.29997253418
2019-10-17,12756.930114746094
2019-10-18,12861.889526367188
2019-10-19,12910.639671325684
2019-10-20,12910.639671325684
2019-10-21,12910.639671325684
2019-10-22,12997.190383911133
2019-10-23,13100.45034790039
2019-10-24,13139.129981994629
2019-10-25,12987.960342407227
2019-10-26,12832.409950256348
2019-10-27,12832.409950256348
2019-10-28,12832.409950256348
2019-10-29,12875.500129699707
2019-10-30,12736.129692077637
2019-10-31,12847.77993774414
2019-11-01,13007.219711303711
2019-11-02,13103.519668579102
2019-11-03,13103.519668579102
2019-11-04,13103.519668579102
2019-11-05,12988.849914550781
2019-11-06,12880.660255432129
2019-11-07,12738.879707336426
