,Financial_Fund_Value
2019-12-24,9992.80029296875
2019-12-25,10064.7998046875
2019-12-26,10064.7998046875
2019-12-27,10060.2001953125
2019-12-28,10016.799926757812
2019-12-29,10016.799926757812
2019-12-30,10016.799926757812
2019-12-31,10054.000244140625
2020-01-01,10179.600219726562
2020-01-02,10179.600219726562
2020-01-03,10071.400146484375
2020-01-04,10080.0
2020-01-05,10080.0
2020-01-06,10080.0
2020-01-07,10144.400024414062
2020-01-08,10142.000122070312
2020-01-09,10261.99951171875
2020-01-10,10243.599853515625
2020-01-11,10462.19970703125
2020-01-12,10462.19970703125
2020-01-13,10462.19970703125
2020-01-14,10366.400146484375
2020-01-15,10605.2001953125
2020-01-16,10700.0
2020-01-17,10704.7998046875
2020-01-18,10582.80029296875
2020-01-19,10582.80029296875
2020-01-20,10582.80029296875
2020-01-21,10582.80029296875
2020-01-22,10737.19970703125
2020-01-23,10838.800048828125
2020-01-24,10736.800537109375
2020-01-25,10476.199951171875
2020-01-26,10476.199951171875
2020-01-27,10476.199951171875
2020-01-28,10599.3994140625
2020-01-29,10729.7998046875
2020-01-30,10793.800048828125
2020-01-31,10546.99951171875
2020-02-01,10601.600341796875
2020-02-02,10601.600341796875
2020-02-03,10601.600341796875
2020-02-04,10704.7998046875
2020-02-05,10869.599609375
2020-02-06,11093.399658203125
2020-02-07,11114.7998046875
2020-02-08,11221.99951171875
2020-02-09,11221.99951171875
2020-02-10,11221.99951171875
2020-02-11,11408.800048828125
2020-02-12,11449.599609375
2020-02-13,11370.999755859375
2020-02-14,11318.800048828125
2020-02-15,11296.199951171875
2020-02-16,11296.199951171875
2020-02-17,11296.199951171875
2020-02-18,11296.199951171875
2020-02-19,11441.400146484375
2020-02-20,11338.399658203125
2020-02-21,11140.0
2020-02-22,10560.0
2020-02-23,10560.0
2020-02-24,10560.0
2020-02-25,10120.0
2020-02-26,10169.400024414062
2020-02-27,9516.400146484375
2020-02-28,9260.2001953125
2020-02-29,9758.800048828125
2020-03-01,9758.800048828125
2020-03-02,9758.800048828125
2020-03-03,9641.400146484375
2020-03-04,9906.199951171875
2020-03-05,9449.400024414062
2020-03-06,9008.200073242188
2020-03-07,8380.2001953125
2020-03-08,8380.2001953125
2020-03-09,8380.2001953125
2020-03-10,9180.0
2020-03-11,8619.400024414062
2020-03-12,7724.4000244140625
2020-03-13,8275.599975585938
2020-03-14,7145.5999755859375
2020-03-15,7145.5999755859375
2020-03-16,7145.5999755859375
2020-03-17,7735.2001953125
2020-03-18,7467.19970703125
2020-03-19,7947.19970703125
2020-03-20,7094.4000244140625
2020-03-21,6548.4002685546875
2020-03-22,6548.4002685546875
2020-03-23,6548.4002685546875
2020-03-24,7434.000244140625
2020-03-25,8027.60009765625
2020-03-26,9037.999877929688
2020-03-27,8686.799926757812
2020-03-28,9107.000122070312
2020-03-29,9107.000122070312
2020-03-30,9107.000122070312
2020-03-31,8799.400024414062
2020-04-01,8190.8001708984375
2020-04-02,8530.599975585938
2020-04-03,8361.400146484375
2020-04-04,8990.399780273438
2020-04-05,8990.399780273438
2020-04-06,8990.399780273438
2020-04-07,8862.39990234375
2020-04-08,9019.400024414062
2020-04-09,9428.400268554688
2020-04-10,9047.80029296875
2020-04-11,9047.80029296875
2020-04-12,9047.80029296875
2020-04-13,9047.80029296875
2020-04-14,9160.599975585938
2020-04-15,8861.400146484375
2020-04-16,9179.7998046875
2020-04-17,9537.39990234375
2020-04-18,9415.999755859375
2020-04-19,9415.999755859375
2020-04-20,9415.999755859375
2020-04-21,9487.39990234375
2020-04-22,9620.0
2020-04-23,9424.000244140625
2020-04-24,9502.80029296875
2020-04-25,9932.999877929688
2020-04-26,9932.999877929688
2020-04-27,9932.999877929688
2020-04-28,9955.399780273438
2020-04-29,10227.80029296875
2020-04-30,10040.800170898438
2020-05-01,9683.200073242188
2020-05-02,9630.2001953125
2020-05-03,9630.2001953125
2020-05-04,9630.2001953125
2020-05-05,9709.7998046875
2020-05-06,9667.999877929688
2020-05-07,9947.80029296875
2020-05-08,9975.599975585938
2020-05-09,9862.19970703125
2020-05-10,9862.19970703125
2020-05-11,9862.19970703125
2020-05-12,9088.800048828125
2020-05-13,9715.999755859375
2020-05-14,9964.000244140625
2020-05-15,10274.599609375
2020-05-16,10328.599853515625
2020-05-17,10328.599853515625
2020-05-18,10328.599853515625
2020-05-19,10024.000244140625
2020-05-20,10174.7998046875
2020-05-21,10170.2001953125
2020-05-22,10265.999755859375
2020-05-23,10472.60009765625
2020-05-24,10472.60009765625
2020-05-25,10472.60009765625
2020-05-26,10472.60009765625
2020-05-27,10728.00048828125
2020-05-28,10736.800537109375
2020-05-29,10572.80029296875
2020-05-30,10764.599609375
2020-05-31,10764.599609375
2020-06-01,10764.599609375
2020-06-02,10826.800537109375
2020-06-03,10954.200439453125
2020-06-04,10923.800048828125
2020-06-05,11130.6005859375
2020-06-06,11146.600341796875
2020-06-07,11146.600341796875
2020-06-08,11146.600341796875
2020-06-09,11161.199951171875
2020-06-10,11161.199951171875
2020-06-11,10504.200439453125
2020-06-12,10540.799560546875
2020-06-13,10860.6005859375
2020-06-14,10860.6005859375
2020-06-15,10860.6005859375
2020-06-16,11008.00048828125
2020-06-17,11104.599609375
2020-06-18,11135.400390625
2020-06-19,11107.39990234375
2020-06-20,11064.200439453125
2020-06-21,11064.200439453125
2020-06-22,11064.200439453125
2020-06-23,11093.00048828125
2020-06-24,10771.400146484375
2020-06-25,10939.3994140625
2020-06-26,10696.99951171875
2020-06-27,10657.39990234375
2020-06-28,10657.39990234375
2020-06-29,10657.39990234375
2020-06-30,10881.800537109375
2020-07-01,10886.400146484375
2020-07-02,11035.400390625
2020-07-03,11150.999755859375
2020-07-04,11150.999755859375
2020-07-05,11150.999755859375
2020-07-06,11150.999755859375
2020-07-07,10984.599609375
2020-07-08,11152.19970703125
2020-07-09,10988.800048828125
2020-07-10,11081.600341796875
2020-07-11,11051.199951171875
2020-07-12,11051.199951171875
2020-07-13,11051.199951171875
2020-07-14,11226.600341796875
2020-07-15,11371.800537109375
2020-07-16,11339.200439453125
2020-07-17,11754.3994140625
2020-07-18,11591.99951171875
2020-07-19,11591.99951171875
2020-07-20,11591.99951171875
2020-07-21,11600.0
2020-07-22,11650.799560546875
2020-07-23,11563.00048828125
2020-07-24,11412.39990234375
2020-07-25,11506.600341796875
2020-07-26,11506.600341796875
2020-07-27,11506.600341796875
2020-07-28,11414.000244140625
2020-07-29,11551.99951171875
2020-07-30,11461.800537109375
2020-07-31,11500.2001953125
2020-08-01,11599.000244140625
2020-08-02,11599.000244140625
2020-08-03,11599.000244140625
2020-08-04,11420.799560546875
2020-08-05,11643.00048828125
2020-08-06,11644.599609375
2020-08-07,11763.800048828125
2020-08-08,11604.000244140625
2020-08-09,11604.000244140625
2020-08-10,11604.000244140625
2020-08-11,11732.80029296875
2020-08-12,11804.7998046875
2020-08-13,11791.199951171875
2020-08-14,11769.200439453125
2020-08-15,11840.6005859375
2020-08-16,11840.6005859375
2020-08-17,11840.6005859375
2020-08-18,11784.200439453125
2020-08-19,11795.0
2020-08-20,11667.19970703125
2020-08-21,11680.799560546875
2020-08-22,11829.000244140625
2020-08-23,11829.000244140625
2020-08-24,11829.000244140625
2020-08-25,11823.00048828125
2020-08-26,11841.99951171875
2020-08-27,11899.599609375
2020-08-28,12021.199951171875
2020-08-29,11883.800048828125
2020-08-30,11883.800048828125
2020-08-31,11883.800048828125
2020-09-01,11924.7998046875
2020-09-02,12160.0
2020-09-03,11582.39990234375
2020-09-04,11292.60009765625
2020-09-05,11050.799560546875
2020-09-06,11050.799560546875
2020-09-07,11050.799560546875
2020-09-08,11050.799560546875
2020-09-09,11203.599853515625
2020-09-10,10866.199951171875
2020-09-11,10824.000244140625
2020-09-12,10947.60009765625
2020-09-13,10947.60009765625
2020-09-14,10947.60009765625
2020-09-15,10963.199462890625
2020-09-16,11234.599609375
2020-09-17,10968.199462890625
2020-09-18,11138.399658203125
2020-09-19,11051.800537109375
2020-09-20,11051.800537109375
2020-09-21,11051.800537109375
2020-09-22,11015.999755859375
2020-09-23,10770.799560546875
2020-09-24,10700.999755859375
2020-09-25,10956.199951171875
2020-09-26,11173.00048828125
2020-09-27,11173.00048828125
2020-09-28,11173.00048828125
2020-09-29,11095.999755859375
2020-09-30,11270.999755859375
2020-10-01,11358.199462890625
2020-10-02,11402.39990234375
2020-10-03,11619.599609375
2020-10-04,11619.599609375
2020-10-05,11619.599609375
2020-10-06,11604.599609375
2020-10-07,11840.999755859375
2020-10-08,12088.800048828125
2020-10-09,12231.400146484375
2020-10-10,12297.80029296875
2020-10-11,12297.80029296875
2020-10-12,12297.80029296875
2020-10-13,12779.200439453125
2020-10-14,12796.99951171875
2020-10-15,12924.7998046875
2020-10-16,13147.60009765625
2020-10-17,12697.80029296875
2020-10-18,12697.80029296875
2020-10-19,12697.80029296875
2020-10-20,12901.400146484375
2020-10-21,12699.7998046875
2020-10-22,12703.599853515625
2020-10-23,12746.199951171875
2020-10-24,12443.800048828125
2020-10-25,12443.800048828125
2020-10-26,12443.800048828125
2020-10-27,12290.6005859375
2020-10-28,12014.200439453125
2020-10-29,12046.600341796875
2020-10-30,11984.200439453125
2020-10-31,12297.39990234375
